tract,population,ca,ca_pop,tract_pop_proport
17031031800,808,3,22358,0.03613918955183827
17031350100,792,35,8480,0.09339622641509433
17031580200,887,58,10883,0.0815032619682073
17031650100,1290,65,9939,0.12979172955025656
17031691200,1255,69,15818,0.0793399924137059
17031650301,1789,65,9939,0.17999798772512327
17031700401,2330,70,16316,0.14280460897278746
17031020602,1317,2,22962,0.05735563104259211
17031260200,536,26,8398,0.0638247201714694
17031381900,553,38,11594,0.047697084698982234
17031130100,2075,13,6403,0.3240668436670311
17031838300,753,8,44014,0.01710819284773027
17031730600,1882,73,14261,0.13196830516794053
17031837400,984,27,9266,0.10619469026548672
17031062300,708,6,42891,0.016506959501993424
17031440201,2581,44,16965,0.15213675213675212
17031251300,2271,25,44880,0.05060160427807486
17031222500,565,22,29254,0.019313598140425242
17031231100,483,23,20365,0.02371716179720108
17031190702,1253,19,22514,0.055654259571821976
17031221400,1216,22,29254,0.04156696520133999
17031840700,878,30,15726,0.05583110771969986
17031843100,816,29,15705,0.05195797516714422
17031611300,785,61,12807,0.06129460451315687
17031241500,1274,24,35052,0.03634600022823234
17031100200,2946,10,19095,0.15428122545168893
17031390700,2884,39,8613,0.3348426796702659
17031710300,719,71,24558,0.02927762847137389
17031351000,1714,35,8480,0.20212264150943396
17031750500,3002,75,13774,0.2179468563961086
17031251400,2023,25,44880,0.045075757575757575
17031150700,1699,15,23644,0.07185755371341566
17031070400,1352,7,28647,0.047195168778580654
17031190200,1868,19,22514,0.08297059607355424
17031750300,1143,75,13774,0.08298243066647307
17031840400,1068,59,4827,0.22125543816034804
17031835200,646,56,13660,0.0472913616398243
17031560700,1264,56,13660,0.09253294289897511
17031020500,1747,2,22962,0.07608222280289173
17031170900,595,17,16506,0.03604749787955895
17031222200,847,22,29254,0.028953305530867574
17031831300,419,25,44880,0.009336007130124778
17031271200,562,27,9266,0.06065184545650766
17031081500,2379,8,44014,0.054050983777888854
17031010400,1518,1,18966,0.08003796267004112
17031150200,2845,15,23644,0.12032650989680257
17031100100,2249,10,19095,0.11777952343545431
17031480400,3260,48,7845,0.41555130656469086
17031221500,1198,22,29254,0.04095166472960963
17031252102,3003,25,44880,0.06691176470588235
17031640600,1408,64,8704,0.16176470588235295
17031834200,2377,43,24231,0.0980974784367133
17031300800,929,30,15726,0.059074144728475136
17031842000,497,35,8480,0.05860849056603774
17031230500,1045,23,20365,0.05131352811195679
17031620100,1295,62,5222,0.2479892761394102
17031411100,1011,41,11097,0.09110570424439038
17031420100,741,42,12194,0.060767590618336885
17031171000,2744,17,16506,0.1662425784563189
17031090200,2956,9,7184,0.41146993318485525
17031020302,1711,2,22962,0.07451441512063409
17031020100,1337,2,22962,0.058226635310513024
17031050900,599,5,14463,0.04141602710364378
17031381200,1001,38,11594,0.08633776091081594
17031611600,549,61,12807,0.04286718200983837
17031832500,1431,7,28647,0.04995287464655985
17031430300,1081,43,24231,0.04461227353390285
17031190900,681,19,22514,0.030247845784844987
17031063100,1042,6,42891,0.024294140961973375
17031832100,1283,6,42891,0.029913035368725374
17031040201,2755,4,16991,0.1621446648225531
17031061800,498,6,42891,0.011610827446317409
17031210700,1541,21,12916,0.11930938371012698
17031100300,3236,10,19095,0.16946844723749674
17031310400,499,31,10688,0.04668787425149701
17031190602,1536,19,22514,0.0682242160433508
